Date,OperatingIncome,GrossProfit,SellingAndMarketingExpense,OperatingRevenue,TotalRevenue,SellingGeneralAndAdministration,TotalExpenses,EBIT,NetIncome,AccountsPayable,CashAndCashEquivalents,RetainedEarnings,Properties,Inventory,ShareIssued,AccountsReceivable,LongTermDebt,OrdinarySharesNumber,CommonStock,TotalCapitalization,Exchange,Buy_Close,Sale_Close,Year,COMPANY
2008-12-31,187310000.0,416783000.0,-1.0,416783000.0,416783000.0,196959000.0,229473000.0,193426000.0,115288000.0,55137000.0,281423000.0,360318000.0,0.0,NA,102565517,29478000.0,-1.0,102565517,19574000.0,381660000.0,BATS,-1,0,2008,CBOE
2009-12-31,177585000.0,426082000.0,-1.0,426082000.0,426082000.0,215351000.0,248497000.0,178105000.0,106451000.0,42958000.0,383730000.0,53352000.0,0.0,NA,102565517,30437000.0,-1.0,102565517,19574000.0,74717000.0,BATS,-1,NA,2009,CBOE
2010-12-31,167341000.0,437104000.0,-1.0,437104000.0,437104000.0,235006000.0,269763000.0,165519000.0,99396000.0,40084000.0,53789000.0,133087000.0,0.0,NA,90084711,37746000.0,-1.0,90084711,901000.0,175874000.0,BATS,27.51,NA,2010,CBOE
2011-12-31,241632000.0,508144000.0,-1.0,508144000.0,508144000.0,226970000.0,266512000.0,240963000.0,139406000.0,46071000.0,134936000.0,232121000.0,0.0,NA,90781222,37578000.0,-1.0,88768885,908000.0,236270000.0,BATS,NA,NA,2011,CBOE
2012-12-31,244097000.0,466203000.0,-1.0,497939000.0,512338000.0,114202000.0,268241000.0,242551000.0,157395000.0,735000.0,135597000.0,275491000.0,0.0,NA,91270274,45666000.0,-1.0,87271683,913000.0,239122000.0,BATS,NA,NA,2012,CBOE
2013-12-31,285814000.0,515474000.0,-1.0,557032000.0,572050000.0,127889000.0,286236000.0,283656000.0,175999000.0,4219000.0,221341000.0,349290000.0,0.0,NA,91845492,49888000.0,-1.0,86770737,919000.0,284517000.0,BATS,56.32,60.29,2013,CBOE
2014-12-31,313801000.0,551115000.0,-1.0,602668000.0,617225000.0,130780000.0,303424000.0,313801000.0,189714000.0,2779000.0,147927000.0,472005000.0,0.0,NA,92569189,58386000.0,-1.0,84114475,926000.0,250067000.0,BATS,NA,NA,2014,CBOE
2015-12-31,319928000.0,458046000.0,2293000.0,615043000.0,634545000.0,81997000.0,314617000.0,324067000.0,205023000.0,1762000.0,102253000.0,603597000.0,0.0,NA,92738803,62535000.0,-1.0,82088549,927000.0,259645000.0,BATS,NA,NA,2015,CBOE
2016-12-31,298200000.0,465841000.0,900000.0,643393000.0,656946000.0,112879000.0,358746000.0,312351000.0,186820000.0,6466000.0,97298000.0,710779000.0,0.0,NA,92950065,69902000.0,-1.0,81285307,929000.0,317946000.0,BATS,NA,NA,2016,CBOE
2017-12-31,456300000.0,794200000.0,-1.0,2202500000.0,2229100000.0,125300000.0,1772800000.0,374000000.0,401700000.0,43200000.0,143500000.0,993300000.0,0.0,NA,124705786,217300000.0,1237900000.0,112741217,1200000.0,4348500000.0,BATS,NA,NA,2017,CBOE
2018-12-31,629400000.0,988100000.0,-1.0,2735800000.0,2768800000.0,129200000.0,2139400000.0,609900000.0,426500000.0,12800000.0,275100000.0,1288200000.0,0.0,NA,125080496,287300000.0,915600000.0,111601976,1200000.0,4156600000.0,BATS,NA,118.18,2018,CBOE
2019-12-31,585700000.0,937900000.0,-1.0,2463300000.0,2496100000.0,126400000.0,1910400000.0,537600000.0,374900000.0,21000000.0,229300000.0,1512600000.0,0.0,NA,125701889,234700000.0,867600000.0,110656892,1200000.0,4223200000.0,BATS,88.18,100.32,2019,CBOE
2020-12-31,707400000.0,1029400000.0,-1.0,3386900000.0,3427100000.0,121700000.0,2719700000.0,695700000.0,468200000.0,28500000.0,245400000.0,1809800000.0,-1.0,NA,125998967,337300000.0,1135200000.0,107299933,1200000.0,4484100000.0,BATS,NA,0,2020,CBOE
1985-12-31,31100000.0,202300000.0,-1.0,433200000.0,433200000.0,149700000.0,402100000.0,31100000.0,25900000.0,-1.0,148000000.0,81900000.0,-1.0,5100000.0,49340000,-1.0,234000000.0,49340000,-1.0,395000000.0,NYSE,-1,0,1985,ALK
1986-12-31,37800000.0,240000000.0,-1.0,468300000.0,468300000.0,168800000.0,430500000.0,37800000.0,17700000.0,-1.0,66200000.0,97600000.0,-1.0,14200000.0,49536000,-1.0,291700000.0,49536000,-1.0,468900000.0,NYSE,-1,0,1986,ALK
1987-12-31,34300000.0,334800000.0,-1.0,709800000.0,709800000.0,258200000.0,675500000.0,34300000.0,13300000.0,-1.0,105400000.0,119800000.0,-1.0,13500000.0,62520000,-1.0,203600000.0,62520000,-1.0,475200000.0,NYSE,-1,0,1987,ALK
1988-12-31,70600000.0,414000000.0,-1.0,814400000.0,814400000.0,299700000.0,743800000.0,70600000.0,37500000.0,-1.0,48500000.0,154600000.0,-1.0,18800000.0,62592000,-1.0,171100000.0,62592000,-1.0,477600000.0,NYSE,-1,0,1988,ALK
1989-12-31,69900000.0,399800000.0,-1.0,916500000.0,916500000.0,283700000.0,846600000.0,69900000.0,42900000.0,99800000.0,13400000.0,194400000.0,-1.0,22400000.0,61932000,-1.0,227000000.0,61932000,-1.0,568900000.0,NYSE,-1,0,1989,ALK
1990-12-31,28500000.0,413500000.0,-1.0,1047000000.0,1047000000.0,324400000.0,1018500000.0,28500000.0,17200000.0,107800000.0,28900000.0,202900000.0,-1.0,32100000.0,52716000,-1.0,281800000.0,52716000,-1.0,622300000.0,NYSE,-1,0,1990,ALK
1991-12-31,34600000.0,430200000.0,-1.0,1104000000.0,1104000000.0,343800000.0,1069400000.0,34600000.0,10300000.0,114600000.0,19100000.0,203900000.0,-1.0,39900000.0,52924000,-1.0,500000000.0,52924000,-1.0,845300000.0,NYSE,-1,0,1991,ALK
1992-12-31,-94900000.0,370600000.0,-1.0,1115400000.0,1115400000.0,408700000.0,1210300000.0,-94900000.0,-84900000.0,47500000.0,6900000.0,110400000.0,-1.0,42100000.0,53316000,-1.0,487800000.0,53316000,-1.0,745700000.0,NYSE,-1,0,1992,ALK
1993-12-31,-16800000.0,395300000.0,-1.0,1128300000.0,1128300000.0,353700000.0,1145100000.0,-16800000.0,-30900000.0,45600000.0,27200000.0,75900000.0,-1.0,41300000.0,53368000,-1.0,525400000.0,53368000,-1.0,692200000.0,NYSE,-1,0,1993,ALK
1994-12-31,-931402000.0,477720000.0,-91900000.0,1315600000.0,1315620000.0,662100000.0,2247022000.0,-931402000.0,22531000.0,48592000.0,11605000.0,98472000.0,-1.0,40250000.0,53600360,-1.0,589904000.0,53600360,16554000.0,781182000.0,NYSE,-1,0,1994,ALK
1995-12-31,-996400000.0,517300000.0,-93100000.0,1417500000.0,1417500000.0,693000000.0,2413900000.0,-996400000.0,17300000.0,69200000.0,25800000.0,115800000.0,-1.0,44800000.0,54260304,-1.0,522400000.0,54260304,16700000.0,734900000.0,NYSE,-1,0,1995,ALK
1996-12-31,-1229900000.0,516900000.0,-101500000.0,1592200000.0,1592200000.0,822100000.0,2822100000.0,-1229900000.0,38000000.0,65400000.0,49400000.0,153800000.0,-1.0,47800000.0,57898924,-1.0,404100000.0,57898924,17200000.0,676600000.0,NYSE,-1,NA,1996,ALK
1997-12-31,-1141400000.0,709100000.0,-26200000.0,1739400000.0,1739400000.0,379300000.0,2880800000.0,-1141400000.0,72400000.0,73900000.0,102600000.0,226200000.0,-1.0,47200000.0,73130928,-1.0,401400000.0,73130928,21000000.0,876700000.0,NYSE,NA,NA,1997,ALK
1998-12-31,-1123400000.0,839100000.0,-2700000.0,1897700000.0,1897700000.0,426100000.0,3021100000.0,-1123400000.0,124400000.0,84300000.0,29400000.0,350600000.0,-1.0,44100000.0,104896020,-1.0,171500000.0,104896020,29000000.0,961000000.0,NYSE,NA,NA,1998,ALK
1999-12-31,-1269100000.0,901300000.0,5100000.0,2082000000.0,2082000000.0,457300000.0,3351100000.0,-1269100000.0,134200000.0,104200000.0,132500000.0,484800000.0,-1.0,54300000.0,105643216,74600000.0,337000000.0,105643216,29200000.0,1267700000.0,NYSE,7.25,6.825,1999,ALK
2000-12-31,-1734300000.0,726100000.0,54100000.0,2177200000.0,2177200000.0,485400000.0,3911500000.0,-1734300000.0,-70300000.0,140900000.0,101100000.0,414500000.0,-1.0,63700000.0,105829580,-1.0,609200000.0,105829580,29200000.0,1471500000.0,NYSE,63.125,80.275,2000,ALK
2001-12-31,-1884800000.0,677200000.0,64700000.0,2152800000.0,2140900000.0,521100000.0,4025700000.0,-1884800000.0,-39500000.0,122000000.0,490300000.0,375000000.0,-1.0,71500000.0,106113472,-1.0,863300000.0,106113472,29300000.0,1683600000.0,NYSE,8.15,47.925,2001,ALK
2002-12-31,-1912700000.0,731000000.0,89900000.0,2224100000.0,2224100000.0,548600000.0,4136800000.0,-1912700000.0,-118600000.0,132100000.0,269000000.0,285800000.0,-1.0,71900000.0,106293756,-1.0,856700000.0,106293756,29300000.0,1512400000.0,NYSE,3.945,6.525,2002,ALK
2003-12-31,-1976800000.0,838900000.0,-1.0,2444800000.0,2444800000.0,459900000.0,4421600000.0,-1976800000.0,13500000.0,132900000.0,192900000.0,299300000.0,-1.0,45800000.0,107047760,-1.0,906900000.0,107047760,29500000.0,1581100000.0,NYSE,6.17,75.125,2003,ALK
2004-12-31,-2185200000.0,897300000.0,-1.0,2723800000.0,2723800000.0,480900000.0,4909000000.0,-2185200000.0,-15300000.0,143800000.0,54300000.0,284000000.0,-1.0,42000000.0,108504080,-1.0,989600000.0,108504080,29800000.0,1654400000.0,NYSE,73.475,79.775,2004,ALK
